iter	Passed	Remaining
154	30091	164049
155	30385	164392
156	30694	164809
157	30943	164903
158	30988	163905
159	31276	164203
160	31321	163222
161	31619	163564
162	31935	163990
163	31971	162974
164	32027	162077
165	32283	162195
166	32328	161255
167	32642	161659
168	32932	161934
169	33191	162053
170	33490	162359
171	33685	162158
172	33980	162440
173	34207	162387
174	34470	162503
175	34764	162763
176	35061	163027
177	35346	163228
178	35584	163212
179	35866	163389
180	35946	162652
181	36261	162977
182	36503	162969
183	36770	163070
184	37052	163230
185	37296	163223
186	37416	162669
187	37451	161759
188	37503	160928
189	37786	161090
190	37829	160229
191	37879	159408
192	38024	158993
193	38094	158269
194	38381	158447
195	38449	157719
196	38684	157684
197	38978	157884
198	39033	157115
199	39091	156365
200	39138	155579
201	39227	154968
202	39281	154224
203	39589	154478
204	39899	154730
205	40205	154968
206	40416	154833
207	40704	154988
208	40947	154973
209	40995	154221
210	41284	154375
211	41413	153934
212	41651	153895
213	41714	153213
214	41761	152476
215	41841	151870
216	42054	151743
217	42322	151816
218	42405	151225
219	42700	151392
220	42997	151562
221	43304	151759
222	43425	151306
223	43482	150636
224	43771	150770
225	44034	150807
226	44257	150710
227	44481	150612
228	44746	150653
229	44786	149939
230	44840	149272
231	45123	149373
232	45180	148726
233	45228	148056
234	45270	147369
235	45323	146726
236	45549	146643
237	45846	146786
238	45895	146135
239	46161	146176
240	46354	145986
241	46434	145442
242	46486	144816
243	46687	144655
244	46968	144738
245	47218	144725
246	47285	144153
247	47540	144154
248	47589	143531
249	47675	143026
250	47743	142470
251	47839	141998
252	48128	142103
253	48203	141572
254	48381	141350
255	48549	141097
256	48591	140480
257	48774	140274
258	48811	139649
259	49085	139705
260	49279	139531
261	49495	139418
262	49556	138870
263	49831	138924
264	50065	138860
265	50261	138692
266	50309	138116
267	50404	137671
268	50470	137153
269	50705	137093
270	50973	137119
271	51041	136611
272	51261	136510
273	51488	136426
274	51618	136084
275	51659	135513
276	51715	134982
277	51933	134878
278	51980	134329
279	52041	133821
280	52305	133834
281	52636	134017
282	52957	134171
283	53017	133664
284	53167	133385
285	53451	133441
286	53734	133492
287	53827	133074
288	54064	133010
289	54100	132453
290	54322	132352
291	54410	131927
292	54521	131559
293	54703	131361
294	54821	131015
295	54879	130525
296	55049	130302
297	55327	130335
298	55637	130441
299	55776	130144
300	56059	130184
301	56100	129662
302	56304	129519
303	56430	129195
304	56706	129215
305	57001	129278
306	57254	129242
307	57541	129280
308	57594	128796
309	57874	128816
310	57947	128377
311	58024	127950
312	58274	127906
313	58345	127468
314	58402	127002
315	58481	126586
316	58783	126652
317	58843	126199
318	58921	125786
319	59137	125666
320	59395	125637
321	59692	125686
322	59755	125245
323	59983	125150
324	60034	124687
325	60124	124305
326	60217	123933
327	60368	123682
328	60564	123522
329	60763	123368
330	60797	122881
331	60933	122601
332	61182	122547
333	61226	122085
334	61530	122143
335	61569	121673
336	61848	121677
337	61892	121221
338	61938	120771
339	61981	120317
340	62144	120097
341	62242	119753
342	62314	119360
343	62373	118945
344	62422	118513
345	62489	118115
346	62764	118113
347	62831	117718
348	63070	117647
349	63381	117707
350	63583	117566
351	63875	117588
352	63969	117246
353	64016	116820
354	64058	116388
355	64116	115986
356	64417	116024
357	64497	115662
358	64705	115533
359	65010	115575
360	65071	115182
361	65212	114932
362	65261	114521
363	65481	114412
364	65526	113998
365	65588	113615
366	65889	113646
367	66103	113525
368	66326	113420
369	66377	113021
370	66414	112600
371	66522	112302
372	66628	111999
373	66681	111611
374	66974	111623
375	67035	111250
376	67293	111203
377	67343	110813
378	67512	110621
379	67814	110645
380	68098	110637
381	68137	110232
382	68320	110061
383	68607	110058
384	68853	109986
385	68897	109593
386	69176	109573
387	69242	109217
388	69338	108909
389	69444	108618
390	69658	108495
391	69874	108377
392	69913	107982
393	70137	107877
394	70398	107824
395	70652	107763
396	70702	107388
397	70755	107021
398	70861	106736
